text,FCFR
I am still convinced the fatality rates of #coronavirus #nCoV2019 in #china are relative to weakened immune systems… https://t.co/GhsqXACq7o,Causing
Health workers are true heroes. #coronavirus  https://t.co/Wnnjwe5IC1,Relieving
"There is no way the official, government approved numbers are the actual ones. #CoronaVirus",Causing
EPA Issues Emergency Guidance to Mitigate Spread of Coronavirus in the United States #coronavirus https://t.co/k7YDeDO5a7,Relieving
Hong Kong residents are panic buying toilet paper after rumours of shortage surface due to Coronavirus... ||… https://t.co/r129Z4l70w,Causing
China Coronavirus: China remains confident of containing coronavirus as death toll spikes to 563 and infects at lea… https://t.co/fvfW1corwm,Relieving
"Vaccine for new coronavirus unlikely to be ready before outbreak is over, says Sars expert.
#CoronaVirusFacts… https://t.co/r5exHofW62",Causing
""" I want freedom of speech ""

Chinese Trending hastag in social media

There's a growing anger in China following t… https://t.co/YzGDIWQRQ3",Relieving
"U.S. announces aid for #China, other countries impacted by #coronavirus https://t.co/GUmCSCMgKT",Relieving
"""At least someone started sharing recovered patient numbers!""",Relieving
Writer Of Biological Weapons Act Believes Coronavirus Stolen From #Canada &amp; Escaped From #Wuhan BSL-4 LAB… https://t.co/lfzkJByzNJ,Causing
"Most human-to-human transmissions of #2019nCoV, as observed in #Guangdong, #China, are from cluster infections. Thu… https://t.co/YdyWOX9Xp2",Relieving
"""Hang in there, China!"" A group of musicians and students from Nagoya of Japan donate 60,000 masks to China on Mond… https://t.co/qxoIJj631h",Relieving
If you are paranoid about #coronavirus the the pathetic surgical masks you wear are useless. FFP3 masks are the min… https://t.co/2PS22CGUco,Causing
Answering questions about kids and coronavirus https://t.co/gItCDBNLha via @CBCTheNational ht  @letstalkscience 🦠⚕️… https://t.co/37Sxh5PW2V,Relieving
"Chinese cities on highest virus alert: Global Times https://t.co/5MlVXtLE4r #Coronavirus #WuhanCoronavirus

MORE w/… https://t.co/f5MzBWymVs",Causing
Antiviral drug candidate Remdesivir showed positive results in vitro in the control of coronavirus. Hope great resu… https://t.co/Bdi1RScmeD,Relieving
"""As of 6am Geneva time today, there were 40,235 confirmed #2019nCoV cases in #China, and 909 deaths. Outside China,… https://t.co/zUlNuUUHnI",causing
"Yesterday was least-bad coronavirus day yet, in terms of the rate of spread. Total cases rose by 11.3%, smallest in… https://t.co/uEIhpCJo2l",relieving
"Key evidence for coronavirus spread is flawed as public health decisions loom 

https://t.co/WVuUKQDljn… https://t.co/0U0subleFt",Causing
Public health officials around the world have an array of data #analytic tools to help battle the #coronavirus outb… https://t.co/5vqK8bTEMN,Relieving
This means there are thousands out there in the UK infected. This thing is a beast and it is mutating,Causing
Local Chinese officials have been fired or scheduled for disciplinary review after repeating misinformation and mak… https://t.co/Rnr0rGt8V0,Relieving
"Apart from allowing people to talk about it, share knowledge, and warn each other.. #coronavirus #PoliceState",Relieving
Best case scenario to safely develop &amp; test vaccine is 1 year. Then it has to be produced. @GaryHaubold  via… https://t.co/2yBmvWHh9e,Relieving
"When people are confused and don't know how to deal with the viruses, here are some guidelines in eBOOK1:… https://t.co/FfMc67JcQ3",Relieving
Four new Wisconsin patients under investigation for #coronavirus  https://t.co/oaKu84qY43,Causing
"""As a Guardian (newspaper) headline says today, 'Misinformation on the corona virus might be the most contagious th… https://t.co/1soIUD8g0g",Relieving
"A leaked conversation from Greece where companies are scurrying to get masks and equipment.

#CoronavirusOutbreak… https://t.co/KvekE9UApe",Causing
Logistical and Technical Exploration into the Origins of the Wuhan Strain of #Coronavirus (2019-nCoV) https://t.co/CEHc8sKSdm. #DigitalIndia,Relieving
"""At least one of every two instances of human-to-human transmission of the new #coronavirus is believed to occur wh… https://t.co/JMXkxwyW8T",causing
"""American killed by Coronavirus in Wuhan, was , a 53-year old geneticist who studied rare diseases at Berkeley.""… https://t.co/XEzTJSSDN6",causing
Need a little break after sharing so many appalling #coronavirus stories - here is my new #artwork &amp; #tutorials. To… https://t.co/pGNegMelaH,Relieving
"Russian state TV is alleging that the U.S. developed the #coronavirus 

What’s their evidence? “Corona” means “crow… https://t.co/SxMhbGNx1n",Causing
Anthony Fauci discusses the latest developments in the global 2019-nCoV outbreak with JAMA Editor Howard Bauchner.… https://t.co/7v5pUPP6zn,Relieving
"""A friend sent this Beijing photo:
Driving in the snow on the empty quiet Chang'an Street, there is a feeling of do… https://t.co/U3QLKgKLbP",Causing
Your guide to coronavirus: Everything you need to know about the deadly virus alarming the world  SEE DETAILS AT ==… https://t.co/O3oS4kIRk5,Relieving
"""Asian race has 5x more of the #ACE2-expressing cell ratio compared to White or African Americans. This virus is wa… https://t.co/R3KU4JH0Bp",Relieving
"From what we're seeing, it's anything but under control.",Causing
Medical equipment manufacturers in #Hebei make all-out efforts to ramp up production for fight against novel… https://t.co/eKx1HnHhGa,Relieving
"Wuhan ""hospital"", they call it. In the end is only a quarantine zone. What's the purpose of this venue then?… https://t.co/133Ae5fU7o",Causing
"From the news...

Find out how you can do your bit to stop germs spreading in your home and workplace with Pure Zon… https://t.co/Afw98QFmlu",Relieving
"' The Best Defense Against Disturbing New Diseases
The global fight against coronavirus depends on the health syste… https://t.co/urgmpFY55C",Relieving
#HongKong rush for self quarantaine,Causing
Another informative update from Chris Martenson if Peak Prosperity in #coronavirus outbreak: Coronavirus: Over Fift… https://t.co/XyuA7yjN9Z,Relieving
Useful data dashboard from Johns Hopkins about Coronavirus #coronavirus #ChinaCoronaVirus  https://t.co/n15D3raQt2,Relieving
Big steps for #mHealth as #ZTE and #ChinaTelecom complete the first #5G diagnosis of the #coronavirus. Learn more… https://t.co/Br4fdN7Qlr,Relieving
"From the source of the video, they say the man was sick and was walking around without protection and even invited… https://t.co/YUizmlWuIE",Causing
"LOOK: Medical workers are preparing traditional Chinese medicine at a hospital in Shandong province, China as the n… https://t.co/hITjr37okv",Relieving
Government Healthcare in China. Can't take care of them. Lock them in to die. @TuckerCarlson @IngrahamAngle… https://t.co/LF0dYIsahb,Causing
"""#Coronavirus: Nine members of Hong Kong family feared infected after sharing hotpot meal""
Damn, even a boiling hot… https://t.co/RDjzzpBiDY",causing
Coronavirus: Here Are 10 Misconceptions Being Spread  SEE DETAILS AT ==&gt; https://t.co/BLuKspTNNQ  #virus… https://t.co/6Ryein5xYm,Relieving
"""At the current mortality rate, the #coronavirus will surpass the #Chernobyl death toll in just weeks"" - Dr Stephan… https://t.co/lzmcfunXkn",causing
"""2019-nCoV is creating the world’s largest remote working experiment.""",causing
"""..from Wuhan. Fever (87.9%) and cough (67.7%) were the most common symptoms. Diarrhea is uncommon. The median incu… https://t.co/wrDBtq87kl",Relieving
Lots of faith in the Singapore 🇸🇬 government’s ability to ride the nation through this self-limiting bug. #coronavirus,Relieving
C.D.C. and W.H.O. offers to help China have been ignored for weeks on #coronavirus https://t.co/Gv5YW7d60x,Relieving
"""Breaking news casualty numbers higher than expected and still rising""

""Unconfirmed reports of social unrest in ch… https://t.co/pQlVu7awNB",Causing
"""It is significant to expanding screening programs and improving testing capability to control the virus' spread,""… https://t.co/vlhJK2fax7",Relieving
Good news patient recovered in Phillipines !!,Relieving
"In 2020, the Chinese government is not only implementing a planned economy, but is also planning the death number k… https://t.co/mdXlA6VyeK",Causing
Local authorities in the Shenzhen Longhua district claim reports it blocked #Foxconn from restarting its factory ar… https://t.co/ftFr30if7l,Relieving
Protect yourself from the Corona Virus with these safety tips https://t.co/CwrivuW9Zr #Coronavirus… https://t.co/d27x0F25hE,Relieving
""" .. ppl suffer an infection of the lungs which leads to breathing difficulties/can't escape/will die w/in 2 days
.… https://t.co/ntYTBlDNbV",causing
"""Aerosol transmission refers to the mixing of the virus with droplets in the air to form aerosols, which causes inf… https://t.co/yNtwRAuTFI",Causing
"But it is also good to see that the growth of cases in the biggest cities is now also slowing down.

https://t.co/iGxP9MAeSt",Relieving
"Anti-racists rally in Melbourne against the ban on travel from China, calling for healthcare not hatred.… https://t.co/2gcGhuftpy",Relieving
Government tells people flying from Asia to 'call NHS if you're ill'scientists today called for a blanket ban on tr… https://t.co/pS5OzUo7M1,Causing
Growing evidence points at human consumption of #wildlife (often illegal and unchecked) as the cause of the… https://t.co/Z5uUm9919R,Causing
"With over 40,000 cases, World Health Organization scrambles to respond.
Click the link or thumbnail image below to… https://t.co/6cXP6cI0PI",Causing
"Machine-learning programs are analyzing websites, news reports, and social media posts for signs of symptoms, such… https://t.co/Cv0kVTXJdR",Relieving
"""100% Coronavirus is not from the animals and is from the #Wuhan laboratory!""

--&gt; That's what I believed 98% since… https://t.co/DVcptJZpKT",Causing
Buoy Health is launching a new #coronavirus feature to help educate patients on symptoms and provide action steps. https://t.co/6VreDLu3Mg,Relieving
Bill and Melinda #GatesFoundation donate $100 million to novel #coronavirus relief efforts - CNN https://t.co/zAM6JbjdLU,Relieving
"""@hvgoenka : In China it is suggested not to touch a door knob or elevator buttons  . Solution for the elevator… https://t.co/SKJEIDSrVg",Relieving
"""At #WHO, we are not just battling the #Coronavirus, we are also battling the trolls and conspiracy theorists that… https://t.co/N9J4pNamOA",Relieving
"Unofficial figures released from multiple sources in #China, suggest the #CoronaVirus is Out Of Control, with a sug… https://t.co/jzLms0h9js",Causing
"France reports five new confirmed cases of the #coronavirus, including one child.

The total number of confirmed ca… https://t.co/oM0FMSwWAq",Causing
""" {There was a special case at Wuhan Union Hospital ... A negative reaction was detected by nucleic acid test, but… https://t.co/MamlNxhcx4",causing
"""A study published Friday in the medical journal JAMA found that 41% of the first 138 patients diagnosed at one hos… https://t.co/OGGG56tZD8",Relieving
Have you ever seen how they treat and transport their poultry in the Middle East.? I have. I avoid Chinese Restaura… https://t.co/C3heoimfPw,Causing
"Islamic medicine to combat diseases. 
Miracle",Relieving
New Online Analytical Lab #2019coronavirus #coronavirus #2019nCoV #2019n_CoV #CoronaOutbreak #VIRUS_CORONA… https://t.co/YvK8J7VEGD,Relieving
This is like something off of The walking Dead China now has sickcube's to come grab you if you're displaying any s… https://t.co/DGoOnzFfP0,Causing
Knowing how to battle against viruses is just another part of staying healthy. Check out our latest article on unde… https://t.co/iphDxNDOrt,Relieving
Because the virus can live up to 5 days in even a cold environment. Thats what reported at this time,Causing
How #medtech companies are responding to the deadly #coronavirus outbreak https://t.co/19hJUiCBY6,Relieving
German study claims people without symptoms can transmit Wuhan coronavirus is flawed #Coronavirus #Corona… https://t.co/1K1uEIYMrt,Causing
"Boston college student confirmed to be 8th #coronavirus patient, as U.S feds prepare 1k quarantine beds https://t.co/JW2010CRiC",Causing
'One of the largest human experiments in history' was conducted on unsuspecting residents of San Francisco… https://t.co/C5l5AjRSzL,Causing
Bird flu and the coronavirus both at the same time. What could go wrong,Causing
Hong Kong Airlines fires 400 workers and asks remaining staff to take unpaid leave amid coronavirus outbreak… https://t.co/HhfzZgHJGs,Causing
The first reported use of experimental drug Remdesivir to fight the novel #coronavirus has encouraged doctors to su… https://t.co/zSGphmKLu0,Relieving
"From epidemic to pandemic, highly likely.",Causing
Listen at the scream at the end. Wtf is happening,Causing
C.D.C. and W.H.O. Offers to Help China Have Been Ignored for Weeks - #coronavirus  https://t.co/7bezB6Kf5b,Causing
Demand for masks and medical supplies has soared in China due to the #coronavirus outbreak. https://t.co/HdzYW2UBLw https://t.co/hqUaC43z4G,Causing
Appreciate China for their commitment against #CoronavirusOutbreak,Relieving
"Antivirals used against HIV and flu have worked in a few #coronavirus
cases around the world. | @SaakhiChadha

https://t.co/o7cc8ffno8",Relieving
Millions of people in #China returned to work Monday after an extended holiday aimed at slowing the spread of a… https://t.co/uz7unTnZwj,Relieving
"Medscape: A group of physicians in #Wuhan, China who treat #2019nCoV are going the extra mile to share their clinic… https://t.co/2eZ6p06BdN",Relieving
More unverifed vid of person being wheeled out to ambulance.  Likely dropped during normal activity like shopping.… https://t.co/iGBKcXIN2Y,Causing
- The World Is Going To Be END Soon !  #coronavirus 😷,Causing
"China’s ambassador to the United Kingdom is confident the novel #coronavirus will be defeated, and that it will not… https://t.co/jNXQ2uPob1",Relieving
"- Ten passengers on cruise ship test positive for #virus

- From black swan to bubble: investors weigh #coronavirus… https://t.co/eC9ZrgOe8n",Causing
"If this virus hits the UK/USA/Europe we're doomed, China doesn't care about doing outrageous things like welding pe… https://t.co/RF1gxKVFEe",Causing
We must Unite the World in Love. Humans are at our Greatest When we are at our Worst.,Relieving
Little things can make life altering difference. The #coronavirus is proof positive. If you are a science enthusias… https://t.co/dstNRi6UIY,Relieving
"From the expert. Tip on wearing gloves in the subway is a good one, will follow. Also, death rate is low thus far b… https://t.co/XDBQdc953m",Relieving
"Newborn becomes youngest person diagnosed with coronavirus as infections near 30K

https://t.co/Aa8ZH2qkt3… https://t.co/YCXAwxuNSa",Causing
Hats off to China for working hard round the clock to stop spreading of corona virus if the break out had happened… https://t.co/3eF0L5lWJf,Relieving
"Chinese Authorities Say Someone Caught Coronavirus After Being Exposed for Just 15 Seconds

https://t.co/2VQfGKREHn… https://t.co/Y0N5mnUWzy",Causing
"This is very concerning the actual count of the
#coronavirus @JustinTrudeau 
https://t.co/F6Y0gWdHPw",Causing
Better off washing your hands before eating or touching your face and staying at least 6 ft from someone who is cou… https://t.co/XO3DbCOo0g,Relieving
"Being a major player in world economics, China's #coronavirus crisis could bear a greater financial catastrophe. Is… https://t.co/jyNSon0aGz",Causing
An excellent use of a non-clinical healthcare organization using their pinned tweet space as a public health inform… https://t.co/SttaPC6Sy6,Relieving
"""16 Franklin and Marshall College students under mandatory #quarantine as precaution against #coronavirus"" in… https://t.co/XUJvDT7ksp",Causing
"""""There's just so many Chinese people here. I need a mask."" This is a request a nurse received from a patient in a… https://t.co/moZDtQq5Nw",causing
Too Late! Now it's been spreading for days! Hundreds of school children unnecessarily exposed to #CoronaVirus becau… https://t.co/29TOdkVmx2,Causing
"""#Copper traders in #China have asked miners to cancel or delay shipments as #coronavirus hits demand. Multiple Chi… https://t.co/C6no5joSEQ",Causing
"Judging by governmental reactions, the virus may be much worse than is being reported. That includes the mortality… https://t.co/fGwgCfX6Ff",Causing
"""...the research team analyzed more than 1,000 metagenome samples of wild animals and found pangolins as the most l… https://t.co/oDIfafA54J",Relieving
I’ve heard here in Australia that even asian restaurants are experiencing reduced trade in part because people fear… https://t.co/EFaiE3k6ic,Causing
"CDC Guidelines for medical professionals, clinical laboratories, handling potentially infectious and infectious spe… https://t.co/nD8Qxm08w1",Relieving
"!?!!??!?!?
Really?!
Is it true?!
NO setup...NOT some scene for an movie?!
REALLY?!
#12Monkeys
#nCoV
#Coronavirus… https://t.co/ixQsRI8Lyq",Causing
Another reason for low figures in the UK so far ... #ukcoronavirus #coronavirus,Relieving
"#Hanghzou, capital of #Zhejiang, has been placed in lockdown by #CCP 

#WuhanCoronavirus 
#Coronavirus",Causing
"Beginning7Feb
Office of the Prime Minister will distribute10,000 health masks/point(1000pack)
1pack contains10piece… https://t.co/IcW0FP6ooC",Relieving
""" I want you to get up right now and go to the window. Open it, and stick your head out, and yell: I'M AS MAD AS HE… https://t.co/nzoSCgBFUN",Relieving
"Another makeshift hospital in Wuhan, China #coronavirus https://t.co/MYNNbfEyCH",Relieving
"""and this is just the beginning""",causing
"Listen carefully to this woman’s story. She recovered at home, by herself and did not go to the hospital. And she h… https://t.co/QygKJTGnK1",Relieving
Good news on #coronavirus from China! The number of patients cured are soaring! See the green line. Grey is the num… https://t.co/0cFVAU6roi,Relieving
"""...bizarrely negative forces are attacking #China and #Chinese people as it engages a remarkably aggressive front… https://t.co/gGy0G7a3hg",causing
Big trouble is on its way to New Jersey! Look at those personnel who didn’t have their mask or gloves on!  Big No n… https://t.co/zemc1Z8L5X,Causing
"""1.5 million confirmed cases in China"" is the leaked word.",Causing
"Mail From China Won't Spread Coronavirus, Virus Specialists Assure Public : Shots - Health News  SEE DETAILS AT ==&gt;… https://t.co/RRSLxfbN4c",Relieving
"""...He finally revealed that 30% of the bodies were pulled from the hospital to the crematorium, and 60% were quara… https://t.co/IiY7jRafA9",causing
"""A contaminated prison"": Scared, angry passengers are trapped on three cruise ships amid virus outbreak… https://t.co/nlhkxMjHzQ",Causing
"Meet the ""Master Virus Hunter"" (who also advised on the movie #Contagion). @lizkimtweets interviewed Dr. Lipkin, wh… https://t.co/oHIJeag3g8",Relieving
Heads up #JerseyCity! @GovMurphy is dumping sick Chinese nationals into our backyard. #NewJersey #coronavirususa… https://t.co/iVMDjznkjO,Causing
"Benefits of eating beets on your health, you and your child 

#News #China #Coronavirus #Bahcesaray #pegasus #Trump
 https://t.co/9dpcGbnz3g",Relieving
"Hard to fathom: 3 provinces, 63 cities under complete lockdown. #corononavirus",Causing
"Here again is my #coronavirus list of key sources of information on twitter

https://t.co/j5uPgQOMES",Relieving
Helping the world find credible information about novel #coronavirus https://t.co/9cky8E7PPv,Relieving
Matter of great concern for all us of current time. Take enough precautions and stay safe from the #coronavirus https://t.co/1y1gygqtyw,Relieving
"Getting the flu shot doesn't guarantee you won't get the flu. But, it does often lessen your symptoms if you do. It… https://t.co/tCtULU9kWv",Relieving
I am convinced that China has been aware of #nCoV for at least 10wks; as they are also aware as to how DEADLY… https://t.co/ZBo3XfRiSa,Causing
"""#Coronavirus scare: #Apple shuts down all its stores in #China"" #WuhanOutbreak #business  https://t.co/XbK1Bhv9oh",causing
"""Arsenicum album 30"", 4 pills once daily in empty stomach.
#coronavirus #Ayush https://t.co/MU9sG4zt5v",Relieving
"Another morning, more worrying news about this #coronavirus",Causing
"Burning the mass amount of bodies ?? Shocking, if true #coronavirus",Causing
"""#Afghanistan has sealed its borders and restricted travel to and from the People’s Republic of #China and also… https://t.co/u5L1Mu2v0Z",causing
"""#PBOC will provide 1st batch of special re-lending funds for combating the #coronavirus on Mon, &amp; will soon offer… https://t.co/lJcP613PSp",Relieving
Volunteers drop cars and deliver groceries to help travellers from China self-quarantine https://t.co/81ch1DdFp2… https://t.co/Wrf3DxglRa,Relieving
"""#WHO fights an infodemic, besides the #coronavirus outbreak"", writes @mrichtel from the @NYTHealth @nytimes",Causing
Beware of fake news masquerading as official government agencies. Check and forward primary sources (e.g. websites)… https://t.co/hWsKHumrWI,Causing
"Logical thing would be to work on better healthcare and access to said healthcare. Btw, Mexico has zero cases of… https://t.co/3BRVXsjgl9",Relieving
"We must support each other! Not get at each others' throats! Unite to defeat this #virus

#coronavirus #2019ncov… https://t.co/VQaTBOjkv7",Relieving
Mexico really holding strong I love us,Relieving
"""...If the blood that is flowing through Jesus cannot catch #Coronavirus, then you cannot catch #Coronavirus....""… https://t.co/hiiTcnRAYM",Relieving
HAPPENING TODAY: The Chinese Consulate General in Los Angeles will discuss ways to prevent &amp; control the spread of… https://t.co/XBEJtReTU9,Relieving
Four people in North Carolina monitored for #coronavirus https://t.co/ue6PeRBn4j https://t.co/Nrzf0roPK7,Causing
Here's What Makes #Coronavirus and #AfricanSwineFever Different: https://t.co/380Vjrhgq5 via @PorkNetwork #ASFV_G #ASF #PorkPriorities,Relieving
"If we listened to WHO, we would have a pandemic on our hands.

Unfortunately, WHO has become another U.N. bureaucra… https://t.co/PfXYosoB7H",Causing
